1er jour de la semaine,Semaine,Région Code,Région,Classe d'âge,Taux de passages aux urgences pour asthme,Taux d'hospitalisations après passages aux urgences pour asthme,Taux d'actes médicaux SOS médecins pour asthme
2023-08-14,2023-S33,01,Guadeloupe,00-14 ans,2352.9411765,4545.4545455,
2023-08-14,2023-S33,01,Guadeloupe,65 ans ou plus,923.07692308,1041.6666667,
2023-08-14,2023-S33,01,Guadeloupe,Tous âges,1704.9180328,1260.5042017,
2023-08-21,2023-S34,01,Guadeloupe,15-64 ans,1714.2857143,884.95575221,
2023-08-21,2023-S34,01,Guadeloupe,65 ans ou plus,571.42857143,884.95575221,
2023-08-21,2023-S34,01,Guadeloupe,Tous âges,1410.3425118,1123.5955056,
2023-09-04,2023-S36,01,Guadeloupe,15-64 ans,1115.7601116,0.0,
2023-09-04,2023-S36,01,Guadeloupe,65 ans ou plus,0.0,0.0,
2023-09-11,2023-S37,01,Guadeloupe,Tous âges,3337.6123235,3474.9034749,
2023-09-25,2023-S39,01,Guadeloupe,65 ans ou plus,623.0529595,0.0,
2023-10-02,2023-S40,01,Guadeloupe,00-14 ans,9365.0793651,12962.962963,
2023-10-09,2023-S41,01,Guadeloupe,00-14 ans,8215.2974504,20312.5,
2023-10-09,2023-S41,01,Guadeloupe,15-64 ans,1963.5343619,0.0,
2023-10-09,2023-S41,01,Guadeloupe,65 ans ou plus,289.85507246,0.0,
2023-10-16,2023-S42,01,Guadeloupe,00-14 ans,10152.284264,25531.914894,
2023-10-16,2023-S42,01,Guadeloupe,Tous âges,5003.2916392,7114.6245059,
2023-10-23,2023-S43,01,Guadeloupe,65 ans ou plus,588.23529412,0.0,
2023-11-06,2023-S45,01,Guadeloupe,00-14 ans,7415.2542373,12765.957447,
2023-11-06,2023-S45,01,Guadeloupe,65 ans ou plus,1003.3444816,0.0,
2023-11-13,2023-S46,01,Guadeloupe,15-64 ans,1957.5856444,3539.8230088,
2023-11-20,2023-S47,01,Guadeloupe,15-64 ans,2201.2578616,925.92592593,
2023-11-20,2023-S47,01,Guadeloupe,65 ans ou plus,840.33613445,1379.3103448,
2023-12-04,2023-S49,01,Guadeloupe,00-14 ans,15640.599002,28571.428571,
2023-12-11,2023-S50,01,Guadeloupe,00-14 ans,10596.02649,11538.461538,
2023-12-11,2023-S50,01,Guadeloupe,Tous âges,5043.5865504,2857.1428571,
2023-12-18,2023-S51,01,Guadeloupe,00-14 ans,13950.073421,20408.163265,
2023-12-25,2023-S52,01,Guadeloupe,00-14 ans,10997.067449,10169.491525,
2023-12-25,2023-S52,01,Guadeloupe,15-64 ans,3474.3202417,1612.9032258,
2023-12-25,2023-S52,01,Guadeloupe,65 ans ou plus,737.1007371,1449.2753623,
2024-01-01,2024-S01,01,Guadeloupe,15-64 ans,2266.2889518,0.0,
2024-01-01,2024-S01,01,Guadeloupe,65 ans ou plus,531.91489362,0.0,
2024-01-01,2024-S01,01,Guadeloupe,Tous âges,3024.691358,701.75438596,
